Id, Cat1Rank, Cat2Rank, Cat3rank, Choices
120620720,63,2253,1497,C0922|C0822|C0122|C0322|C0422|C0129|C0329|C0429|C0629|C0622|C0285|C0785|C0928|C0828|C0628|C0228|C0933|C0839|A1539|A1739|C0137|A1839|C0522|C1022|A1422|A0228
120612876,99999,5486,99999,C0900|C0926|A1700|A1726|C0700|A0700|C0100|C0800|C0400|A1300|C0726|A2100|C0928
120611895,99999,2110,784,C0100|C0122|C0900|C0922|C0400|C0422|C0800|C0822|C0129|C0300|C0322|C0429|C0329|C0700|C1022|C0622|C0629
120619105,99999,2694,99999,C0900|C0400|C0100|A2000|A1700|C0700|A1900|A0700|A0600|A0800|A0900|A2100|A1300|C0800|C0926|A1726|C0126|A2026|C0726|C0826|C0129|C0429|C0228|C0928|C0828|C0285|C0785
120606697,99999,453,99999,NOCHOICE
120612906,99999,99999,2834,C0920|A1520|A1820|A1739|A1539|A1839|C0922|C0422
120503234,99999,1331,99999,C0100|C0900|A1700
120503208,99999,5448,2547,C0920|A1739|C0922|C0926|A1726|C0422|C0122|C0126|A1839|A1820|C0726|A1520|A1539|A1422
120609168,99999,4842,99999,C0900|C0100|C0400|C0129|C0429|C0926|C0126|A1700|A0700|A1726|A1600|C0700|C0800|C0300|C0329|C0826|C0726|A1900|A0800|A0600|A0900|A1300|A0500|C0526|C0629|C0285|C0785|A1100|C0928|C0228|A0100|C0828|C0628|A2426|A1200|A1500|A2100|A2200
120611893,99999,3129,99999,C0900|A0700|A0800|A0600|A0900|A1700|C0700|A1300|A1900|A2100|C0100|A2000|A0400|C0926|A1726|C0726|C0126|A2026
120500749,99999,3357,99999,C0900|A1700|C0700|A0700|A1300|A0600|A1900|A2100|C0100|A0800|A0900|C0400|A1200
120610760,99999,3382,99999,C0700|A1900|A2100|A1300|C0900|A0600|A0700|A0800|A0900|A1700|A1200
120613748,99999,4310,99999,C0900|A1700|A1600|C0100|A1300|A2100
120619789,99999,2889,99999,C0900|A1700|A0700|C0928
120501359,99999,4623,99999,C0900|A0700|A1700|A0800|A1300|A2100|A1900|C0700|A1200|A0900|A0600|C0400
120609164,99999,439,99999,C0900|C0400|C0100|A1700
120608451,99999,283,99999,C0900|C0926|C0100|C0400|C0126|C0129
120619925,99999,5381,99999,C0900|C0100|A1300|A1200|C0700|C0285|C0785
120618215,99999,1650,99999,A1726|C0900|C0100|A1700|C0926|C0928|C0400|C0129|C0700|A2100|C0429|C0228|C0726|C0800
120613397,99999,1270,99999,C0900|C0100|C0400|C0800|C0700|A1700|A0700|A0800
120608874,99999,3908,1943,C0122|C0322|C0422|C0922|A1422|C1022|C0920|A1520|A1820|C0126|A2026|C0926|A1726|C0726|C0822|C0622|C0826|C0522|C0526|A2426
120618594,99999,3600,99999,A1726|C0926|A2026|C0126|C0785|C0285
120615706,170,3595,99999,C0928|C0926|C0927|A1726|C0228|C0828|C0628
120614717,99999,1965,875,C0920|C0926|C0839|C0126|C0826
120500242,99999,5769,99999,C0285|C0785|C0629|C0429|C0129|C0329|A0100|A0200|A0300|C0900|C0300|C0400|C0100|C0700|C0800|A0400|A0500|A0700|A0600|A0800|A0900|A1000|A1100|A1300|A1200|A2400|A2500|A2300|A1500|A1700|A1600|A2000|A1900|A2100|A2200
120506221,99999,5665,2713,C0900|A1700|A0800|A0700|A1600|A1900|C0400|C0700|A2100|C0922|C0422
120613273,99999,1821,831,C0922|C0900|A1700|A0700|A0800|A0600|A0900
120607551,99999,2451,99999,C0129|C0429|C0285|C0228|C0828|C0785|C0928|C0329
120616373,99999,2753,1754,C0900|C0400|C0928|A1500|A0800|A0600|A0900|A1700|A1422|C0228
120608461,99999,3439,2867,C0922|C0122|C0422|C0822|C0920|C0926|C0126|C0826|C0726
120621602,99999,99999,1452,C0822|C0122|C0922|C0422|C0322|C0622|C0522|C1022|A1422
120503687,99999,4926,1401,C0122|C0922|C0422|C0322|C0920|C0839|C0100|C0900|C0700|A1300|A1900
